"stockID","stock","survey","usesurvey","startage","endage","firstyear","endyear"
1,"GBcod","NMFS fall BTS",TRUE,0,14,1970,2017
1,"GBcod","NMFS spring BTS",TRUE,0,18,1970,2018
2,"GOMcod","NMFS fall BTS",TRUE,0,16,1970,2017
2,"GOMcod","NMFS spring BTS",TRUE,0,17,1970,2018
2,"GOMcod","MADMF spring BTS",TRUE,0,12,1982,2016
3,"plaice","NMFS fall BTS",TRUE,0,21,1980,2018
3,"plaice","NMFS spring BTS",TRUE,0,24,1980,2018
4,"GBwinter","NMFS fall BTS",TRUE,0,19,1976,2018
4,"GBwinter","NMFS spring BTS",TRUE,1,20,1976,2018
5,"SNEMAwinter","NMFS fall BTS",TRUE,0,13,1976,2018
5,"SNEMAwinter","NMFS spring BTS",TRUE,0,15,1976,2018
5,"SNEMAwinter","MADMF spring BTS",TRUE,1,16,1982,2018
6,"witch","NMFS fall BTS",TRUE,0,30,1982,2018
6,"witch","NMFS spring BTS",TRUE,1,25,1982,2018
6,"witch","MADMF fall BTS",TRUE,3,21,1984,1992
6,"witch","MADMF spring BTS",TRUE,4,14,1984,1992
7,"CCGOMyt","NMFS fall BTS",TRUE,0,12,1963,2017
7,"CCGOMyt","NMFS spring BTS",TRUE,1,12,1970,2018
7,"CCGOMyt","MADMF fall BTS",TRUE,0,8,1978,2018
7,"CCGOMyt","MADMF spring BTS",TRUE,1,8,1978,2018
8,"GByt","NMFS fall BTS",TRUE,0,14,1963,2017
8,"GByt","NMFS spring BTS",TRUE,1,11,1968,2018
9,"SNEMAyt","NMFS fall BTS",TRUE,0,9,1963,2016
9,"SNEMAyt","NMFS spring BTS",TRUE,0,11,1968,2018
9,"SNEMAyt","NMFS winter BTS",TRUE,1,8,1992,2007
10,"GBhaddock","NMFS fall BTS",TRUE,0,16,1963,2018
10,"GBhaddock","NMFS spring BTS",TRUE,0,16,1968,2018
11,"GOMhaddock","NMFS fall BTS",TRUE,0,15,1963,2018
11,"GOMhaddock","NMFS spring BTS",TRUE,0,18,1968,2018
12,"whitehake","NMFS fall BTS",TRUE,0,16,1963,2017
12,"whitehake","NMFS spring BTS",TRUE,0,34,1968,2018
13,"herring","NMFS fall BTS",TRUE,1,12,1987,2017
13,"herring","NMFS spring BTS",TRUE,1,14,1987,2018
14,"mackerel","NMFS fall BTS",TRUE,0,18,1973,2018
14,"mackerel","NMFS spring BTS",TRUE,1,19,1974,2018
15,"redfish","NMFS fall BTS",TRUE,0,59,1975,2017
15,"redfish","NMFS spring BTS",TRUE,0,53,1975,1990
16,"pollock","NMFS fall BTS",TRUE,0,22,1970,2018
16,"pollock","NMFS spring BTS",TRUE,0,24,1970,2018
17,"scup","NMFS fall BTS",TRUE,0,14,1984,2017
17,"scup","NMFS spring BTS",TRUE,1,16,1977,2017
17,"scup","NMFS winter BTS",TRUE,1,7,1994,2007
17,"scup","MADMF fall BTS",TRUE,0,8,2000,2017
17,"scup","MADMF spring BTS",TRUE,1,9,2000,2015
18,"butterfish","NMFS fall BTS",TRUE,0,6,1989,2016
19,"fluke","NMFS fall BTS",TRUE,0,15,1976,2018
19,"fluke","NMFS spring BTS",TRUE,1,15,1976,2018
19,"fluke","NMFS winter BTS",TRUE,1,14,1992,2007
19,"fluke","MADMF fall BTS",TRUE,0,11,1982,2017
19,"fluke","MADMF spring BTS",TRUE,1,14,1982,2017
